hist_district_ID,tot_years,pop_total,pop_white,housing_total,housing_owned,housing_rental,pop_poc,pct_poc,pct_rental
D_001,55.0,3.2616552072675247,2.417562224511865,2.001115254022076,0.6188358945286011,1.3822793594934748,0.8440929827556597,25.87928303625952,69.07544963815592
D_002,52.0,1544.2434539906271,1316.6215830068913,549.9054602043358,443.819380626074,106.0860795782617,227.62187098373602,14.740024987350056,19.291694164819145
D_003,55.0,218.75432013138447,151.99067887589104,85.37474479131683,55.53789626563171,29.83684852568512,66.76364125549344,30.519918973666442,34.94809688581314
D_004,34.0,1867.958561790322,1353.0266657846112,914.2894904139547,479.42846613702415,434.8610242769305,514.9318960057109,27.5665588380173,47.56272808955097
D_005,24.0,5498.303284130389,2908.4596925007636,2874.861391526039,873.6085929644364,2001.2527985616025,2589.843591629626,47.10259616097615,69.61214910953652
D_006,57.0,2353.8486007561414,1618.3358777645817,1423.4537325833448,399.77514740389574,1023.6785851794491,735.5127229915599,31.24724006273329,71.91512879885694
D_007,37.0,9560.698976673888,5482.399279923019,3733.132177780239,1462.9061599438521,2270.2260178363867,4078.2996967508684,42.656919820413435,60.81290213480434
D_008,32.0,2654.1910173627357,1095.047669565753,760.7612749791165,483.17537218595965,277.58590279315683,1559.1433477969824,58.74269551805592,36.48791176979622
D_009,50.0,2187.7854723305545,1706.4481126001785,1304.342969003796,552.301537356777,752.041431647019,481.3373597303761,22.00112240518847,57.656724459625636
D_010,51.0,1498.989099271637,918.8771415674938,806.4840158997621,284.6687256939426,521.8152902058196,580.1119577041435,38.700211895204674,64.70249625761659
D_011,49.0,875.3914071389521,311.50427558868955,195.10177515777173,95.09959596881582,100.0021791889559,563.8871315502626,64.41542913851745,51.25641686657529
D_012,50.0,277.02769946748606,189.64680599258114,153.32416818675046,46.34663838354818,106.97752980320227,87.38089347490491,31.542294739071952,69.77212468741556
D_013,36.0,4081.1110840624797,3508.0143997573173,2018.866007793566,839.7406454982694,1179.125362295297,573.0966843051624,14.042663198833639,58.40533040545727
D_014,49.0,155.7705363754353,40.0038670134782,42.772300716833094,5.536867406709786,37.235433310123305,115.7666693619571,74.31872037914691,87.05501618122976
D_015,91.0,4.569412294128833,3.3730847841039964,3.30704547357184,0.9804297640543244,2.3266157095175157,1.196327510024836,26.18121178432462,70.35330261136713
D_016,59.0,15241.767882126336,7071.397798706571,5858.554227384761,2584.6422346348063,3273.911992749955,8170.370083419765,53.60513390970195,55.88259262748888
D_017,35.0,483.1680734014051,323.85603347166165,307.33626998698446,94.42866945329911,212.90760053368535,159.31203992974343,32.97238553206114,69.27512998797764
D_018,33.0,759.9567411113461,401.24407221227546,395.7896401258337,149.76704298641926,246.02259713941447,358.71266889907065,47.201722084140755,62.15993856261531
D_019,55.0,779.9964841254521,545.7887538548473,91.00573056886026,6.38636705509777,84.61936351376248,234.20773027060477,30.026767432574168,92.98245614295081
D_020,36.0,718.5502529857528,507.2850772947016,463.638916697143,105.34079755282852,358.29811914431446,211.26517569105118,29.401586710629147,77.2795609343469
D_021,22.0,889.474193396514,621.024905018349,576.801718047995,208.57293235423015,368.22878569376485,268.44928837816485,30.180671948791915,63.83975188907551
D_022,36.0,4538.625831582799,3645.3781294396176,2058.82323960552,1327.1033456480068,731.7198939575127,893.2477021431815,19.68101657394548,35.540685566465314
D_023,50.0,24426.19282041616,19391.18428866122,10691.867629932549,5891.040992558309,4800.82663737424,5035.008531754939,20.613153137588128,44.90166548577563
D_024,45.0,2641.554736550111,186.06478476857347,867.90117285417,319.4723153803001,548.4288574738699,2455.4899517815375,92.95623966469172,63.19024269437418
D_025,47.0,92.26113301143303,73.53813286201193,36.092132563169756,20.341037199371062,15.751095363798695,18.72300014942109,20.293486041517536,43.641354071363224
D_026,33.0,1034.2090515262937,800.6278081803489,529.3423833740342,195.55370669619563,333.7886766778385,233.58124334594484,22.585495940228316,63.057236140863274
D_027,40.0,1759.6567803616706,711.032449949787,722.0182534025616,408.6050726797708,313.4131807227909,1048.6243304118836,59.592549076323564,43.4079303737557
D_028,50.0,3.375673806762806,3.3752392156202617,0.7799638399329947,0.0010517105649567931,0.7789121293680379,0.0004345911425441294,0.01287420430473679,99.8651590610858
D_029,33.0,2903.8309371645396,263.44420907748486,1237.3488043873533,596.9328225810622,640.415981806291,2640.386728087055,90.92770155087864,51.757110002896816
D_030,21.0,44.027210176219114,32.75926275393232,20.125731501948152,11.56369017463313,8.562041327315022,11.26794742228679,25.593144278701235,42.5427583910986
D_031,-666666.0,3490.6777081994796,2512.1918713239293,1817.8931839971056,516.2071054870842,1301.6860785100214,978.48583687555,28.031400165564442,71.60410138333485
D_032,17.0,234.06939603895555,150.6009729263579,128.56602597632892,17.922994496360715,110.64303147996822,83.46842311259763,35.65969089726971,86.05930737902669
D_033,17.0,3116.966636606861,2450.484250540378,1874.770641090106,705.43187765665,1169.3387634334563,666.4823860664834,21.38240359197486,62.372363733706194
D_034,-666666.0,715.8808877350145,506.0732568736948,489.6098010529277,329.44814439022105,160.1616566627067,209.80763086131964,29.307617294426297,32.71210182440627
D_035,56.0,9611.770377513138,7360.26962054177,2588.756474450468,1687.4263557557163,901.330118694752,2251.500756971369,23.4244126580342,34.81710727101448
D_036,38.0,2466.017079465116,2163.1567122127244,1221.6410612522427,401.0545487163661,820.5865125358765,302.86036725239137,12.28135724502291,67.17083589960005
D_037,29.0,7448.249882832988,5003.259577024353,4834.830850271576,1536.1243416099987,3298.706508661578,2444.9903058086347,32.826373232239995,68.22796103562314
