in_hist_district,pop_total,pop_white,pop_poc,housing_total,housing_owned,housing_rental,pct_poc,pct_rental
No,520398.30578618747,181233.87918100768,339164.4266051798,206934.8774580068,86577.83502904097,120357.04242896585,65.17400668566549,58.16179655524228
Yes,192691.53753721883,113875.5075445992,78816.02999261962,86468.11433919106,38287.534267569536,48180.580071621516,40.9026940155045,55.720632327683376
